,hw_pass,hw_e,lt_pass,lt_e,pp_pass,pp_e,gp
Am,5,3,27,17,5,5,26
Bl,2,1,21,12,3,3,18
Br,4,2,26,17,4,4,28
Co,4,2,21,14,0,0,24
Cr,4,1,23,17,3,3,20
Di,4,2,26,20,3,3,28
Du,4,3,22,15,4,4,22
Dy,0,0,11,4,1,0,21
Fl,5,4,28,24,5,5,24
Fr,0,0,2,2,0,0,9
Ga,5,3,25,17,5,5,22
He,4,3,23,17,3,3,24
Li,5,4,26,17,5,5,19
Mc,0,0,9,1,2,2,22
Ma,5,2,24,11,5,5,23
Ng,4,2,23,16,3,3,19
Sc,5,3,24,19,4,4,26
Sh,4,4,23,15,2,1,25
St,0,0,2,0,0,0,17
Va,3,1,13,4,0,0,20
Ve,4,3,25,22,3,3,25
Wa,5,4,25,22,5,4,25
Ya,5,4,27,21,5,5,25
Zi,1,0,23,11,3,3,22